regiao,experimento,fold,variavel,mse,rmse,mae,r2
fp_head,512x4_fp_head,21,pressure,0.042108,0.205201,0.141424,0.9962
fp_head,512x4_fp_head,21,x-velocity,0.020594,0.143505,0.099471,0.9007
fp_head,512x4_fp_head,21,y-velocity,0.022189,0.148961,0.109741,0.9582
fp_head,512x4_fp_head,21,z-velocity,0.030237,0.173887,0.122214,0.9619
fp_head,512x4_fp_head,21,temperature,0.103519,0.321744,0.236596,0.9959
fp_head,512x4_fp_head,21,incident-radiation,2.212937,1.487594,0.950559,0.9998
fp_head,512x4_fp_head,21,radiation-temperature,0.040762,0.201896,0.15748,0.998
fp_head,512x4_fp_head,21,rad-heat-flux,0.220631,0.469714,0.098738,0.9988
fp_head,512x4_fp_head,21,vr,0.03022,0.173838,0.12219,0.9647
lrp_head,512x4_lrp_head,14,pressure,0.012615,0.112315,0.087407,0.9988
lrp_head,512x4_lrp_head,14,x-velocity,0.006656,0.081582,0.054378,0.8325
lrp_head,512x4_lrp_head,14,y-velocity,0.009479,0.097361,0.065433,0.8985
lrp_head,512x4_lrp_head,14,z-velocity,0.016555,0.128668,0.081197,0.9027
lrp_head,512x4_lrp_head,14,temperature,0.097065,0.311553,0.211722,0.9954
lrp_head,512x4_lrp_head,14,incident-radiation,2.804407,1.674636,0.928138,0.9999
lrp_head,512x4_lrp_head,14,radiation-temperature,0.031235,0.176735,0.134537,0.9993
lrp_head,512x4_lrp_head,14,rad-heat-flux,0.219264,0.468257,0.128425,0.9976
lrp_head,512x4_lrp_head,14,vr,0.011882,0.109006,0.074132,0.8561
mt_head,512x4_mt_head,11,pressure,0.026101,0.161557,0.102733,0.9974
mt_head,512x4_mt_head,11,x-velocity,0.012234,0.110606,0.075509,0.875
mt_head,512x4_mt_head,11,y-velocity,0.015392,0.124064,0.084838,0.9627
mt_head,512x4_mt_head,11,z-velocity,0.020866,0.144451,0.100173,0.9696
mt_head,512x4_mt_head,11,temperature,0.071825,0.268001,0.196543,0.9966
mt_head,512x4_mt_head,11,incident-radiation,1.505026,1.226795,0.723422,0.9999
mt_head,512x4_mt_head,11,radiation-temperature,0.02844,0.168641,0.129155,0.9994
mt_head,512x4_mt_head,11,rad-heat-flux,0.133418,0.365265,0.097732,0.9992
mt_head,512x4_mt_head,11,vr,0.023613,0.153666,0.105299,0.9676
mt_core,512x4_mt_core,1,pressure,0.00925,0.096179,0.063546,0.999
mt_core,512x4_mt_core,1,x-velocity,0.010471,0.102326,0.073042,0.8498
mt_core,512x4_mt_core,1,y-velocity,0.010969,0.104733,0.07392,0.8697
mt_core,512x4_mt_core,1,z-velocity,0.014399,0.119997,0.083609,0.885
mt_core,512x4_mt_core,1,temperature,0.10546,0.324746,0.230024,0.9949
mt_core,512x4_mt_core,1,incident-radiation,2.62625,1.620571,0.995418,0.9999
mt_core,512x4_mt_core,1,radiation-temperature,0.032805,0.18112,0.137744,0.9993
mt_core,512x4_mt_core,1,rad-heat-flux,0.422421,0.64994,0.147301,0.996
mt_core,512x4_mt_core,1,vr,0.01208,0.109907,0.07941,0.862
mt_r_foot,512x4_mt_r_foot,25,pressure,0.00291,0.053942,0.041894,0.9997
mt_r_foot,512x4_mt_r_foot,25,x-velocity,0.004559,0.067518,0.045992,0.7548
mt_r_foot,512x4_mt_r_foot,25,y-velocity,0.003416,0.05845,0.042514,0.7198
mt_r_foot,512x4_mt_r_foot,25,z-velocity,0.006633,0.081446,0.05462,0.9065
mt_r_foot,512x4_mt_r_foot,25,temperature,0.036921,0.192148,0.13973,0.9981
mt_r_foot,512x4_mt_r_foot,25,incident-radiation,1.042612,1.021084,0.736713,0.9999
mt_r_foot,512x4_mt_r_foot,25,radiation-temperature,0.016171,0.127166,0.097587,0.9991
mt_r_foot,512x4_mt_r_foot,25,rad-heat-flux,0.094143,0.306827,0.074633,0.9905
mt_r_foot,512x4_mt_r_foot,25,vr,0.003733,0.061102,0.042645,0.8232
